Date	Time	---	cm/s
980815	0:18	862	82.14
980815	0:28	862	191.16
980815	0:38	862	197.03
980815	0:48	862	164.27
980815	0:58	862	175.52
980815	1:08	862	178.94
980815	1:18	862	180.4
980815	1:28	862	200.94
980815	1:38	862	192.14
980815	1:48	862	191.16
980815	1:58	862	195.07
980815	2:08	862	198
980815	2:18	862	185.29
980815	2:28	862	204.36
980815	2:38	862	176
980815	2:48	862	179.43
980815	2:58	862	181.87
980815	3:08	862	211.2
980815	3:18	862	213.65
980815	3:28	862	203.87
980815	3:38	862	183.34
980815	3:48	862	192.14
980815	3:58	862	201.92
980815	4:08	862	177.96
980815	4:18	862	183.34
980815	4:28	862	205.83
980815	4:38	862	179.92
980815	4:48	862	211.69
980815	4:58	862	49.38
980815	5:08	862	1.96
980815	5:18	862	5.38
980815	5:28	862	9.29
980815	5:38	862	7.33
980815	5:48	862	7.82
980815	5:58	862	10.76
980815	6:08	862	12.22
980815	6:18	862	6.36
980815	6:28	862	6.84
980815	6:38	862	1.96
980815	6:48	862	2.44
980815	6:58	862	6.36
980815	7:08	862	5.38
980815	7:18	862	5.38
980815	7:28	862	6.36
980815	7:38	862	6.36
980815	7:48	862	6.36
980815	7:58	862	5.38
980815	8:08	862	6.36
980815	8:18	862	5.87
980815	8:28	862	3.91
980815	8:38	862	4.89
980815	8:48	862	4.4
980815	8:58	862	2.44
980815	9:08	862	6.84
980815	9:18	862	4.89
980815	9:28	862	3.91
980815	9:38	862	2.93
980815	9:48	862	2.93
980815	9:58	862	4.4
980815	10:08	862	2.44
980815	10:18	862	0.98
980815	10:28	862	2.44
980815	10:38	862	2.93
980815	10:48	862	0.49
980815	10:58	862	1.47
980815	11:08	862	3.42
980815	11:18	862	1.47
980815	11:28	862	4.4
980815	11:38	862	3.91
980815	11:48	862	4.4
980815	11:58	862	5.38
980815	12:08	862	5.38
980815	12:18	862	6.36
980815	12:28	862	9.78
980815	12:38	862	10.27
980815	12:48	862	3.91
980815	12:58	862	5.87
980815	13:08	862	5.87
980815	13:18	862	3.91
980815	13:28	862	6.84
980815	13:38	862	18.58
980815	13:48	862	174.54
980815	13:58	862	176.98
980815	14:08	862	147.65
980815	14:18	862	169.16
980815	14:28	862	185.78
980815	14:38	862	161.83
980815	14:48	862	151.07
980815	14:58	862	189.69
980815	15:08	862	161.34
980815	15:18	862	169.65
980815	15:28	862	151.56
980815	15:38	862	172.58
980815	15:48	862	157.43
980815	15:58	862	159.38
980815	16:08	862	189.69
980815	16:18	862	149.11
980815	16:28	862	151.07
980815	16:38	862	213.65
